Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=10% Leakage, Uninsulated	Option=20% Leakage, Uninsulated	Option=30% Leakage, Uninsulated	Option=10% Leakage, R-4	Option=20% Leakage, R-4	Option=30% Leakage, R-4	Option=10% Leakage, R-6	Option=20% Leakage, R-6	Option=30% Leakage, R-6	Option=10% Leakage, R-8	Option=20% Leakage, R-8	Option=30% Leakage, R-8	Option=In Finished Space	resstock_probability
Mobile Home	1970s	Slab	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009600000000000001
Mobile Home	1980s	Slab	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009600000000000001
Mobile Home	1990s	Slab	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009600000000000001
Mobile Home	2000s	Slab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.009600000000000001
Single-Family Detached	1940s	Slab	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019200000000000002
Single-Family Attached	1940s	Slab	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019200000000000002
Multi-Family with 2 - 4 Units	1940s	Slab	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019200000000000002
Multi-Family with 5+ Units	1940s	Slab	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019200000000000002
Mobile Home	1940s	Slab	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019200000000000002
Single-Family Detached	2010s	Slab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.009600000000000001
Single-Family Attached	2010s	Slab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.009600000000000001
Multi-Family with 2 - 4 Units	2010s	Slab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.009600000000000001
Multi-Family with 5+ Units	2010s	Slab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.009600000000000001
Mobile Home	2010s	Slab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.009600000000000001
Single-Family Detached	<1940	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Detached	1950s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Detached	1960s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Detached	1970s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Detached	1980s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Detached	1990s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Detached	2000s	Unheated Basement	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Attached	<1940	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Attached	1950s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Attached	1960s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Attached	1970s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Attached	1980s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Attached	1990s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Attached	2000s	Unheated Basement	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 2 - 4 Units	<1940	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 2 - 4 Units	1950s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 2 - 4 Units	1960s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 2 - 4 Units	1970s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 2 - 4 Units	1980s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 2 - 4 Units	1990s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 2 - 4 Units	2000s	Unheated Basement	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 5+ Units	<1940	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 5+ Units	1950s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 5+ Units	1960s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 5+ Units	1970s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 5+ Units	1980s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 5+ Units	1990s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 5+ Units	2000s	Unheated Basement	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0012000000000000001
Mobile Home	<1940	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Mobile Home	1950s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Mobile Home	1960s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Mobile Home	1970s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Mobile Home	1980s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Mobile Home	1990s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001
Mobile Home	2000s	Unheated Basement	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Detached	1940s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024000000000000002
Single-Family Attached	1940s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024000000000000002
Multi-Family with 2 - 4 Units	1940s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024000000000000002
Multi-Family with 5+ Units	1940s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024000000000000002
Mobile Home	1940s	Unheated Basement	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024000000000000002
Single-Family Detached	2010s	Unheated Basement	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0012000000000000001
Single-Family Attached	2010s	Unheated Basement	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 2 - 4 Units	2010s	Unheated Basement	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0012000000000000001
Multi-Family with 5+ Units	2010s	Unheated Basement	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0012000000000000001
Mobile Home	2010s	Unheated Basement	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.47	0.27	0.0	0.0	0.0	0.0	0.0012000000000000001
